  ID                          Tag  Name
 236                     SHOP.Sys  SHOP.Sys
 237       MIN_Door_Hackable_Weak  Sealed Doors
 238           Assembled Analyzer  Assembled Analyzer
 239                   Components  Components
 240       Testing Chamber Shield  Testing Chamber Shield
 241            Testing Apparatus  Testing Apparatus
 242                 EX-Generator  EX-Generator
 243            BIN's Workstation  BIN's Workstation
 244            DEC's Workstation  DEC's Workstation
 245            HEX's Workstation  HEX's Workstation
 246               BIN's Terminal  BIN's Terminal
 247               DEC's Terminal  DEC's Terminal
 248               HEX's Terminal  HEX's Terminal
 249                   EXI_Farcom  FarCom Aligner
 250              EX-Vault Access  EX-Vault Access
 251       EX-Prototypes Database  EX-Prototypes Database
 252             EX-Message Board  EX-Message Board
 253           Repaired_Machine_T  Twisted Machinery
 254           Repaired_Machine_F  Twisted Machinery
 255           Repaired_Machine_R  Twisted Machinery
 256           Repaired_Machine_Y  Twisted Machinery
 257           Repaired_Machine_S  Twisted Machinery
 258              Testing Chamber  Testing Chamber
 259      4L-MR0's Prototype Logs  4L-MR0's Prototype Logs
 260                 SUB_Autodoor  Sealed Doors
 261                   Clippyterm  Clippyterm
 262     Triangle-emblazoned Door  Triangle-emblazoned Door
 263                      WAR.Sys  WAR.Sys
 264         Prototyping Terminal  Prototyping Terminal
 265            CAV_Door_Hackable  Sealed Heavy Doors
 266             Outpost Terminal  Outpost Terminal
 267           CAV_Base_Generator  Outpost Generator
 268             CAV_Junk_Machine  Abandoned Machinery
 269            CAV_Reinforcement  Wall Reinforcements
 270           CAV_Door_Shootable  Locked Door
 271         CAV_Door_No_Terminal  Sealed Doors
 272                      Private  Private
 273                CAV_Thief_Den  Junk
 274            W-Fans Enter Here  W-Fans Enter Here
 275        LOW_Warlord_Fan_Stuff  Fandom Paraphernelia
 276           PRO_Base_Generator  Base Generator
 277        PRO_Target_Dispatcher  Target Dispatcher
 278          PRO_Test_Aggregator  Test Aggregator
 279            PRO_Data_Receptor  Data Receptor
 280            Matter Repository  Matter Repository
 281              Twisting Tunnel  Twisting Tunnel
 282             DAT_Data_Conduit  Data Conduit
 283             ORACLE Interface  ORACLE Interface
 284          ZHI_Cloak_Generator  Cloak Generator
 286                ZHI_Main_Door  Sealed Heavy Doors
 287            Zhirov's Terminal  Zhirov's Terminal
 288             Quantum Analyzer  Quantum Analyzer
 289         Zhirov's Workstation  Zhirov's Workstation
 290            WAR_Door_Hackable  Sealed Heavy Doors
 291          Vortex Lab Terminal  Vortex Lab Terminal
 292         Hacking Lab Terminal  Hacking Lab Terminal
 293           Relay Lab Terminal  Relay Lab Terminal
 294          Fabnet Lab Terminal  Fabnet Lab Terminal
 295          Intel Room Terminal  Intel Room Terminal
 296             WAR_Staging_Area  Staging Area
 297             RES_Staging_Area  Staging Area
 298             WAR_Mainc_Tunnel  Fortified Tunnel
 299                ZIO_Machinery  Twisted Machinery
 300      Deep Containment System  Deep Containment System
 301      ZIOWAR_Quarantine_Array  System Quarantine Field Array
 302          ZIO_Cloak_Generator  Cloak Generator
 303           ZIO_Stockpile_Wall  Stockpile Wall
 304           ZIO_Prototype_Hold  Prototype Hold
 305                 ZIO_Lab_Wall  Lab Wall
 306         ZIO_Repair_Shop_Wall  Repair Shop Wall
 307                Zion Terminal  Zion Terminal
 308           ZIO_Machinery_Fake  Twisted Machinery
 309           Conduit Teleporter  Conduit Teleporter
 310             ZIO_Memory_Banks  Memory Banks
 311                ZIO_Imprinter  IMP:G-0014175/C-0630194
 312               DEE_Z_Facility  Z-Facility
 313                      Z-Power  Z-Power
 315               DEE_Sigix_Wall  Impregnable Wall
 316               DEE_Sigix_Gate  Impregnable Gate
 317             DEE_Wall_Chamber  Wall Chamber
 318       DEE_Survey_Way_Station  Survey Way Station
 319            EXT_Door_Hackable  Sealed Heavy Doors
 321         EXT_Transfer_Station  Transfer Station
 322               Cetus Terminal  Cetus Terminal
 323 Cetus Manufacturing Controls  Cetus Manufacturing Controls
 324            CET_Door_Hackable  Sealed Heavy Doors
 325                        Doors  Doors
 326                          Bed  Bed
 327                      Lockers  Lockers
 328                        Table  Table
 329                  Lab Station  Lab Station
 330           Research Interface  Research Interface
 331              Cetus Mainframe  Cetus Mainframe
 332   Cetus Manufacturing Module  Cetus Manufacturing Module
 333             Archive Terminal  Archive Terminal
 334                  Archive Hub  Archive Hub
 335         HUB_Transfer_Station  Transfer Station
 336              HUB_Network_Hub  Network Hub
 337            ARM_Door_Hackable  Sealed Heavy Doors
 338          ARM_Shell_Shootable  Reinforced Shell
 339      ARM_Dimension_Slip_Node  Dimensional Slip Node
 340                     NO ENTRY  NO ENTRY
 341            LAB_Door_Hackable  Sealed Barrier
 342        Active System Cloaker  Active System Cloaker
 343                   A0 Command  A0 Command
 344                   hN 3sDk7Qc  hN 3sDk7Qc
 345              A0 Storage 04-B  A0 Storage 04-B
 346              UC xVqbSdU M7q4  UC xVqbSdU M7q4
 347           Suspension Chamber  Suspension Chamber
 349            TES_Door_Hackable  Sealed Heavy Doors
 350          TES_Shell_Shootable  Reinforced Shell
 351             Regeneration Lab  Regeneration Lab
 352                TES_Terrabomb  TB3 Reconfiguration Apparatus
 353            QUA_Door_Hackable  Sealed Heavy Doors
 354       QUA_Door_Hackable_Hard  Sealed Barrier
 355                    Sigix Lab  Sigix Lab
 356    Sigix Quarantine Controls  Sigix Quarantine Controls
 357     Sigix Quarantine Chamber  Sigix Quarantine Chamber
 358            Teleportation Lab  Teleportation Lab
 359                  Autopsy Lab  Autopsy Lab
 360            Research Terminal  Research Terminal
 361            SEC_Door_Hackable  Sealed Heavy Doors
 362        L2 Monitoring Station  L2 Monitoring Station
 363        Power Cell Monitoring  Power Cell Monitoring
 364                    Thrusters  Thrusters
 365            SEC_L2_Power_Cell  Power Cell
 366                   Wing Frame  Wing Frame
 367              FTL Facilitator  FTL Facilitator
 368                 Core Housing  Core Housing
 369                         Hull  Hull
 370                Armor Plating  Armor Plating
 371                   Navigation  Navigation
 372        Construction Supplies  Construction Supplies
 373                L2 Fabricator  L2 Fabricator
 374         Exoskeleton Controls  Exoskeleton Controls
 375           Cave Seal Controls  Cave Seal Controls
 376               COM_Cave_Spawn  Dark Tunnel
 377          COM_Shell_Shootable  Access Shell
 378                  Access Lift  Access Lift
 379       COM_Teleport_Inhibitor  Wave Inhibitor
 380            COM_Door_Hackable  Sealed Barrier
 381             COM_0b10_Conduit  0b10 Conduit
 382       COM_Alternative_Access  Heavy Barrier
 384               COM_Cache_Door  Sealed Heavy Doors
 385         AC0_Singularity_Gate  Singularity Gate
 386                Gate Controls  Gate Controls
 388            AC0_Subspace_Node  Subspace Access Node
 389        AC0_Subspace_Node_Mid  Subspace Access Node
 390          AC0_Architect_Shell  Architect Shell
 391               Architect Logs  Architect Logs
 392      AC0_Abandoned_Machinery  Abandoned Machinery
 393          AC0_Shell_Shootable  Reinforced Shell
 394             Analysis Chamber  Analysis Chamber
 395              AC0_Workstation  Workstation
 396              JUN_Black_Space  Black Space
 397            JUN_New_Year_City  New Year City
